disgust,Yes,3200,disgust,"[{'x': 708, 'y': 598}, {'x': 708, 'y': 597}, {'x': 704, 'y': 594}, {'x': 699, 'y': 591}, {'x': 693, 'y': 589}, {'x': 689, 'y': 586}, {'x': 687, 'y': 584}, {'x': 685, 'y': 583}, {'x': 684, 'y': 583}, {'x': 684, 'y': 582}, {'x': 683, 'y': 582}, {'x': 682, 'y': 582}, {'x': 681, 'y': 582}, {'x': 680, 'y': 580}, {'x': 680, 'y': 580}, {'x': 678, 'y': 579}, {'x': 677, 'y': 579}, {'x': 676, 'y': 579}, {'x': 672, 'y': 577}, {'x': 669, 'y': 575}, {'x': 664, 'y': 572}, {'x': 664, 'y': 571}, {'x': 664, 'y': 571}, {'x': 663, 'y': 571}, {'x': 662, 'y': 570}, {'x': 659, 'y': 567}, {'x': 654, 'y': 565}, {'x': 646, 'y': 560}, {'x': 638, 'y': 555}, {'x': 627, 'y': 546}, {'x': 616, 'y': 537}, {'x': 607, 'y': 529}, {'x': 596, 'y': 519}, {'x': 588, 'y': 510}, {'x': 581, 'y': 503}, {'x': 576, 'y': 496}, {'x': 572, 'y': 491}, {'x': 571, 'y': 487}, {'x': 570, 'y': 486}, {'x': 568, 'y': 484}, {'x': 566, 'y': 482}, {'x': 563, 'y': 479}, {'x': 560, 'y': 476}, {'x': 557, 'y': 472}, {'x': 551, 'y': 467}, {'x': 547, 'y': 462}, {'x': 540, 'y': 457}, {'x': 532, 'y': 449}, {'x': 525, 'y': 443}, {'x': 519, 'y': 439}, {'x': 514, 'y': 435}, {'x': 508, 'y': 432}, {'x': 502, 'y': 428}, {'x': 496, 'y': 424}, {'x': 492, 'y': 420}, {'x': 489, 'y': 418}, {'x': 484, 'y': 415}, {'x': 483, 'y': 413}, {'x': 482, 'y': 412}, {'x': 480, 'y': 411}, {'x': 477, 'y': 411}, {'x': 475, 'y': 409}, {'x': 472, 'y': 408}, {'x': 471, 'y': 407}, {'x': 470, 'y': 407}, {'x': 469, 'y': 407}]"
awe,Yes,1704,awe,"[{'x': 522, 'y': 615}, {'x': 528, 'y': 614}, {'x': 537, 'y': 611}, {'x': 550, 'y': 609}, {'x': 563, 'y': 607}, {'x': 581, 'y': 602}, {'x': 588, 'y': 599}, {'x': 592, 'y': 597}, {'x': 596, 'y': 594}, {'x': 599, 'y': 591}, {'x': 602, 'y': 588}, {'x': 607, 'y': 584}, {'x': 612, 'y': 580}, {'x': 617, 'y': 578}, {'x': 620, 'y': 575}, {'x': 623, 'y': 574}, {'x': 627, 'y': 571}, {'x': 633, 'y': 566}, {'x': 646, 'y': 556}, {'x': 652, 'y': 552}, {'x': 655, 'y': 551}, {'x': 656, 'y': 549}, {'x': 657, 'y': 548}, {'x': 659, 'y': 547}, {'x': 662, 'y': 544}, {'x': 666, 'y': 541}, {'x': 669, 'y': 539}, {'x': 670, 'y': 537}, {'x': 672, 'y': 535}, {'x': 673, 'y': 535}, {'x': 677, 'y': 531}, {'x': 681, 'y': 528}, {'x': 686, 'y': 524}, {'x': 691, 'y': 520}, {'x': 696, 'y': 516}, {'x': 700, 'y': 513}, {'x': 704, 'y': 509}, {'x': 712, 'y': 503}, {'x': 716, 'y': 500}, {'x': 720, 'y': 496}, {'x': 722, 'y': 495}, {'x': 723, 'y': 492}, {'x': 724, 'y': 491}, {'x': 725, 'y': 490}, {'x': 727, 'y': 487}, {'x': 728, 'y': 484}, {'x': 730, 'y': 482}, {'x': 732, 'y': 480}, {'x': 732, 'y': 479}, {'x': 732, 'y': 477}, {'x': 726, 'y': 473}, {'x': 714, 'y': 463}, {'x': 685, 'y': 447}, {'x': 657, 'y': 431}, {'x': 625, 'y': 418}, {'x': 591, 'y': 404}, {'x': 568, 'y': 395}, {'x': 556, 'y': 390}, {'x': 551, 'y': 387}, {'x': 550, 'y': 387}, {'x': 549, 'y': 387}, {'x': 549, 'y': 391}, {'x': 551, 'y': 395}, {'x': 551, 'y': 396}, {'x': 552, 'y': 397}, {'x': 552, 'y': 398}]"
awe,Yes,2384,awe,"[{'x': 777, 'y': 591}, {'x': 776, 'y': 589}, {'x': 774, 'y': 588}, {'x': 772, 'y': 587}, {'x': 770, 'y': 584}, {'x': 764, 'y': 577}, {'x': 755, 'y': 565}, {'x': 740, 'y': 548}, {'x': 727, 'y': 532}, {'x': 710, 'y': 515}, {'x': 694, 'y': 501}, {'x': 680, 'y': 489}, {'x': 669, 'y': 480}, {'x': 661, 'y': 474}, {'x': 654, 'y': 469}, {'x': 645, 'y': 461}, {'x': 636, 'y': 454}, {'x': 627, 'y': 447}, {'x': 617, 'y': 439}, {'x': 609, 'y': 433}, {'x': 601, 'y': 427}, {'x': 592, 'y': 420}, {'x': 587, 'y': 416}, {'x': 584, 'y': 415}, {'x': 584, 'y': 414}, {'x': 583, 'y': 414}, {'x': 583, 'y': 413}, {'x': 581, 'y': 412}, {'x': 580, 'y': 411}]"
contentment,Yes,1167,awe,"[{'x': 968, 'y': 591}, {'x': 968, 'y': 592}, {'x': 968, 'y': 591}, {'x': 964, 'y': 587}, {'x': 957, 'y': 582}, {'x': 949, 'y': 575}, {'x': 941, 'y': 569}, {'x': 933, 'y': 562}, {'x': 928, 'y': 556}, {'x': 921, 'y': 547}, {'x': 911, 'y': 533}, {'x': 898, 'y': 519}, {'x': 885, 'y': 501}, {'x': 876, 'y': 485}, {'x': 868, 'y': 469}, {'x': 860, 'y': 457}, {'x': 852, 'y': 448}, {'x': 845, 'y': 442}, {'x': 837, 'y': 436}, {'x': 819, 'y': 428}, {'x': 800, 'y': 424}, {'x': 775, 'y': 419}, {'x': 740, 'y': 408}, {'x': 696, 'y': 393}, {'x': 664, 'y': 382}, {'x': 642, 'y': 373}, {'x': 625, 'y': 369}, {'x': 619, 'y': 368}, {'x': 615, 'y': 368}, {'x': 613, 'y': 368}, {'x': 609, 'y': 368}, {'x': 607, 'y': 369}, {'x': 604, 'y': 371}, {'x': 602, 'y': 372}, {'x': 600, 'y': 373}, {'x': 599, 'y': 374}, {'x': 598, 'y': 375}, {'x': 596, 'y': 378}, {'x': 592, 'y': 386}, {'x': 588, 'y': 395}, {'x': 587, 'y': 403}, {'x': 586, 'y': 411}, {'x': 586, 'y': 412}]"
sadness,Yes,1800,sadness,"[{'x': 844, 'y': 599}, {'x': 841, 'y': 598}, {'x': 831, 'y': 592}, {'x': 817, 'y': 584}, {'x': 785, 'y': 564}, {'x': 763, 'y': 552}, {'x': 747, 'y': 543}, {'x': 739, 'y': 537}, {'x': 735, 'y': 534}, {'x': 732, 'y': 531}, {'x': 728, 'y': 529}, {'x': 722, 'y': 526}, {'x': 716, 'y': 523}, {'x': 712, 'y': 520}, {'x': 708, 'y': 519}, {'x': 707, 'y': 519}, {'x': 702, 'y': 516}, {'x': 694, 'y': 514}, {'x': 679, 'y': 508}, {'x': 658, 'y': 500}, {'x': 633, 'y': 490}, {'x': 612, 'y': 481}, {'x': 593, 'y': 472}, {'x': 581, 'y': 467}, {'x': 575, 'y': 463}, {'x': 569, 'y': 459}, {'x': 565, 'y': 457}, {'x': 562, 'y': 455}, {'x': 556, 'y': 452}, {'x': 551, 'y': 451}, {'x': 544, 'y': 445}, {'x': 536, 'y': 441}, {'x': 528, 'y': 436}, {'x': 521, 'y': 432}, {'x': 518, 'y': 429}, {'x': 516, 'y': 428}, {'x': 515, 'y': 428}, {'x': 513, 'y': 427}, {'x': 512, 'y': 427}, {'x': 506, 'y': 423}, {'x': 503, 'y': 421}, {'x': 500, 'y': 419}, {'x': 499, 'y': 418}]"
disgust,Yes,1777,fear,"[{'x': 782, 'y': 564}, {'x': 779, 'y': 564}, {'x': 775, 'y': 563}, {'x': 769, 'y': 560}, {'x': 764, 'y': 559}, {'x': 757, 'y': 558}, {'x': 752, 'y': 555}, {'x': 747, 'y': 554}, {'x': 743, 'y': 552}, {'x': 740, 'y': 551}, {'x': 737, 'y': 549}, {'x': 735, 'y': 548}, {'x': 733, 'y': 547}, {'x': 732, 'y': 546}, {'x': 729, 'y': 544}, {'x': 727, 'y': 543}, {'x': 724, 'y': 540}, {'x': 719, 'y': 538}, {'x': 714, 'y': 535}, {'x': 707, 'y': 532}, {'x': 701, 'y': 528}, {'x': 692, 'y': 523}, {'x': 683, 'y': 517}, {'x': 672, 'y': 511}, {'x': 660, 'y': 503}, {'x': 649, 'y': 497}, {'x': 638, 'y': 491}, {'x': 627, 'y': 483}, {'x': 617, 'y': 478}, {'x': 607, 'y': 473}, {'x': 598, 'y': 467}, {'x': 590, 'y': 463}, {'x': 581, 'y': 459}, {'x': 573, 'y': 455}, {'x': 564, 'y': 451}, {'x': 553, 'y': 448}, {'x': 544, 'y': 446}, {'x': 536, 'y': 444}, {'x': 528, 'y': 442}, {'x': 520, 'y': 439}, {'x': 513, 'y': 439}, {'x': 508, 'y': 438}, {'x': 504, 'y': 437}, {'x': 500, 'y': 436}, {'x': 495, 'y': 435}, {'x': 489, 'y': 435}, {'x': 482, 'y': 433}, {'x': 476, 'y': 431}, {'x': 468, 'y': 429}, {'x': 461, 'y': 427}, {'x': 453, 'y': 425}, {'x': 444, 'y': 424}, {'x': 436, 'y': 422}, {'x': 429, 'y': 420}, {'x': 423, 'y': 419}, {'x': 418, 'y': 419}, {'x': 416, 'y': 418}, {'x': 413, 'y': 418}, {'x': 410, 'y': 417}, {'x': 408, 'y': 417}, {'x': 407, 'y': 417}, {'x': 404, 'y': 416}, {'x': 403, 'y': 415}, {'x': 402, 'y': 415}, {'x': 401, 'y': 415}]"
awe,Yes,6467,amusement,"[{'x': 1288, 'y': 554}, {'x': 1277, 'y': 548}, {'x': 1262, 'y': 533}, {'x': 1226, 'y': 531}, {'x': 1125, 'y': 531}, {'x': 1048, 'y': 535}, {'x': 993, 'y': 543}, {'x': 946, 'y': 553}, {'x': 880, 'y': 560}, {'x': 843, 'y': 562}, {'x': 808, 'y': 564}, {'x': 784, 'y': 565}, {'x': 768, 'y': 566}, {'x': 759, 'y': 566}, {'x': 750, 'y': 565}, {'x': 748, 'y': 564}, {'x': 745, 'y': 563}, {'x': 743, 'y': 561}, {'x': 741, 'y': 559}, {'x': 738, 'y': 554}, {'x': 734, 'y': 543}, {'x': 731, 'y': 521}, {'x': 734, 'y': 489}, {'x': 740, 'y': 449}, {'x': 742, 'y': 442}, {'x': 743, 'y': 441}, {'x': 744, 'y': 439}, {'x': 744, 'y': 438}, {'x': 740, 'y': 438}, {'x': 737, 'y': 438}, {'x': 736, 'y': 437}, {'x': 735, 'y': 436}, {'x': 734, 'y': 435}, {'x': 733, 'y': 435}, {'x': 733, 'y': 434}, {'x': 732, 'y': 433}, {'x': 732, 'y': 432}, {'x': 691, 'y': 436}, {'x': 552, 'y': 459}, {'x': 452, 'y': 459}, {'x': 415, 'y': 452}, {'x': 404, 'y': 446}, {'x': 402, 'y': 444}, {'x': 402, 'y': 443}, {'x': 402, 'y': 438}, {'x': 397, 'y': 435}, {'x': 386, 'y': 443}, {'x': 370, 'y': 463}, {'x': 362, 'y': 490}, {'x': 362, 'y': 513}, {'x': 372, 'y': 527}, {'x': 382, 'y': 532}, {'x': 389, 'y': 532}, {'x': 399, 'y': 532}, {'x': 408, 'y': 530}, {'x': 419, 'y': 528}, {'x': 432, 'y': 526}, {'x': 436, 'y': 525}, {'x': 436, 'y': 524}, {'x': 437, 'y': 524}, {'x': 439, 'y': 523}, {'x': 443, 'y': 522}, {'x': 448, 'y': 515}, {'x': 454, 'y': 505}, {'x': 458, 'y': 499}, {'x': 460, 'y': 493}, {'x': 465, 'y': 483}, {'x': 472, 'y': 463}, {'x': 476, 'y': 443}, {'x': 479, 'y': 434}, {'x': 480, 'y': 429}, {'x': 480, 'y': 427}, {'x': 480, 'y': 425}, {'x': 480, 'y': 423}, {'x': 480, 'y': 420}, {'x': 480, 'y': 419}, {'x': 480, 'y': 417}]"
amusement,Yes,1113,amusement,"[{'x': 964, 'y': 583}, {'x': 959, 'y': 583}, {'x': 956, 'y': 583}, {'x': 953, 'y': 583}, {'x': 952, 'y': 583}, {'x': 951, 'y': 583}, {'x': 948, 'y': 583}, {'x': 937, 'y': 583}, {'x': 924, 'y': 579}, {'x': 904, 'y': 575}, {'x': 881, 'y': 570}, {'x': 858, 'y': 563}, {'x': 839, 'y': 555}, {'x': 808, 'y': 547}, {'x': 784, 'y': 541}, {'x': 757, 'y': 535}, {'x': 723, 'y': 523}, {'x': 693, 'y': 511}, {'x': 672, 'y': 502}, {'x': 657, 'y': 495}, {'x': 647, 'y': 491}, {'x': 640, 'y': 487}, {'x': 628, 'y': 479}, {'x': 611, 'y': 469}, {'x': 592, 'y': 455}, {'x': 576, 'y': 442}, {'x': 559, 'y': 429}, {'x': 551, 'y': 423}, {'x': 547, 'y': 419}, {'x': 546, 'y': 418}]"
disgust,Yes,1831,disgust,"[{'x': 910, 'y': 573}, {'x': 904, 'y': 569}, {'x': 889, 'y': 557}, {'x': 869, 'y': 544}, {'x': 847, 'y': 531}, {'x': 826, 'y': 517}, {'x': 797, 'y': 500}, {'x': 781, 'y': 491}, {'x': 767, 'y': 482}, {'x': 750, 'y': 471}, {'x': 730, 'y': 462}, {'x': 708, 'y': 451}, {'x': 684, 'y': 442}, {'x': 661, 'y': 433}, {'x': 644, 'y': 425}, {'x': 632, 'y': 420}, {'x': 621, 'y': 416}, {'x': 612, 'y': 413}, {'x': 606, 'y': 412}, {'x': 600, 'y': 411}, {'x': 592, 'y': 410}, {'x': 585, 'y': 408}, {'x': 576, 'y': 406}, {'x': 570, 'y': 405}, {'x': 567, 'y': 405}, {'x': 564, 'y': 405}]"
anger,Yes,2384,anger,"[{'x': 977, 'y': 560}, {'x': 950, 'y': 555}, {'x': 910, 'y': 547}, {'x': 868, 'y': 539}, {'x': 828, 'y': 530}, {'x': 797, 'y': 524}, {'x': 772, 'y': 519}, {'x': 752, 'y': 514}, {'x': 736, 'y': 511}, {'x': 720, 'y': 509}, {'x': 705, 'y': 505}, {'x': 688, 'y': 501}, {'x': 656, 'y': 495}, {'x': 644, 'y': 491}, {'x': 608, 'y': 480}, {'x': 583, 'y': 471}, {'x': 562, 'y': 464}, {'x': 549, 'y': 459}, {'x': 542, 'y': 455}, {'x': 536, 'y': 452}, {'x': 532, 'y': 449}, {'x': 524, 'y': 444}, {'x': 519, 'y': 442}, {'x': 512, 'y': 437}, {'x': 507, 'y': 434}, {'x': 506, 'y': 433}, {'x': 504, 'y': 432}, {'x': 504, 'y': 431}, {'x': 500, 'y': 430}, {'x': 498, 'y': 426}, {'x': 495, 'y': 422}, {'x': 492, 'y': 417}, {'x': 491, 'y': 415}, {'x': 490, 'y': 412}, {'x': 489, 'y': 412}]"
contentment,Yes,1712,amusement,"[{'x': 768, 'y': 586}, {'x': 762, 'y': 569}, {'x': 756, 'y': 556}, {'x': 749, 'y': 538}, {'x': 748, 'y': 529}, {'x': 746, 'y': 520}, {'x': 744, 'y': 513}, {'x': 743, 'y': 505}, {'x': 742, 'y': 497}, {'x': 741, 'y': 490}, {'x': 740, 'y': 483}, {'x': 740, 'y': 478}, {'x': 738, 'y': 471}, {'x': 736, 'y': 464}, {'x': 732, 'y': 459}, {'x': 729, 'y': 455}, {'x': 719, 'y': 448}, {'x': 710, 'y': 445}, {'x': 696, 'y': 441}, {'x': 682, 'y': 438}, {'x': 668, 'y': 435}, {'x': 656, 'y': 433}, {'x': 647, 'y': 431}, {'x': 640, 'y': 430}, {'x': 637, 'y': 429}, {'x': 633, 'y': 428}, {'x': 629, 'y': 427}, {'x': 625, 'y': 427}, {'x': 619, 'y': 425}, {'x': 615, 'y': 425}, {'x': 610, 'y': 424}, {'x': 604, 'y': 424}, {'x': 596, 'y': 423}, {'x': 587, 'y': 421}, {'x': 578, 'y': 419}, {'x': 572, 'y': 418}, {'x': 567, 'y': 416}, {'x': 565, 'y': 416}, {'x': 563, 'y': 415}, {'x': 562, 'y': 415}]"
